24;4;21,3596698947381;
3,4;4;2,88560141941431;
54;4;51,2496816626934;
64;4;61,2369278134729;
84;4;81,2208362616554;
94;4;91,2154356485113;
14;4;11,5240635414383;
34;4;31,2996318751077;
44;4;41,2686129282574;
74;4;71,2277529165252;
84;0,4;83,7176350854721;
94;4;91,2154356485113;
14;4;11,5240635414383;
24;4;21,3596698947381;
34;4;31,2996318751077;
44;4;41,2686129282574;
54;4;51,2496816626934;
64;4;61,2369278134729;
744;4;741,176969716665;
84;4;81,2208362616554;
94;4;91,2154356485113;
14;4;11,5240635414383;
24;4;21,3596698947381;
34;4;31,2996318751077;
44;4;41,2686129282574;
54;4;51,2496816626934;
64;4;60,0131512681065;
74;4;71,2277529165252;
84;4;81,2208362616554;
94;4;91,2154356485113;
24;4;21,3596698947381;
34;4;31,2996318751077;
44;4;41,2686129282574;
54;4;51,2496816626934;
64;4;61,2369278134729;
74;4;71,2277529165252;
84;4;81,2208362616554;
94;4;91,2154356485113;
14;4;11,5240635414383;
24;4;21,3596698947381;
34;4;31,2996318751077;
44;4;41,2686129282574;
54;4;51,2496
